# کتاب‌های درسی — منبع: chap.sch.ir
# الگو: {CHAP_BASE}/sites/default/files/lbooks/{catdir}/C{code}.pdf
# ستون‌ها: code<TAB>catdir<TAB>filename<TAB>pages<TAB>print_year<TAB>title
110210	1403-1404/40	شیمی-۱-دهم-تجربی-چاپ-1403-1404.pdf	136	1403	شیمی ۱ دهم
110211	1403-1404/40	ریاضی-۱-دهم-تجربی-چاپ-1403-1404.pdf	176	1403	ریاضی ۱ دهم
110216	1403-1404/40	زیست-شناسی-۱-دهم-تجربی-چاپ-1403-1404.pdf	120	1403	زیست ۱ دهم
110214	1403-1404/40	فیزیک-۱-دهم-تجربی-چاپ-1403-1404.pdf	136	1403	فیزیک ۱ دهم
111210	1404-1405/41	شیمی-۲-یازدهم-تجربی-چاپ-1404-1405.pdf	136	1404	شیمی ۲ یازدهم
111211	1404-1405/41	ریاضی-۲-یازدهم-تجربی-چاپ-1404-1405.pdf	176	1404	ریاضی ۲ یازدهم
111216	1404-1405/41	زیست-شناسی-۲-یازدهم-تجربی-چاپ-1404-1405.pdf	168	1404	زیست ۲ یازدهم
111237	1404-1405/41	زمین-شناسی-یازدهم-چاپ-1404-1405.pdf	128	1404	زمین‌شناسی یازدهم
111244	1404-1405/41	فیزیک-۲-یازدهم-تجربی-چاپ-1404-1405.pdf	119	1404	فیزیک ۲ یازدهم
112210	1405-1406/712	شیمی-۳-دوازدهم-تجربی-چاپ-1405-1406.pdf	136	1405	شیمی ۳ دوازدهم
112211	1405-1406/712	ریاضی-۳-دوازدهم-تجربی-چاپ-1405-1406.pdf	160	1405	ریاضی ۳ دوازدهم
112216	1405-1406/712	زیست-شناسی-۳-دوازدهم-تجربی-چاپ-1405-1406.pdf	136	1405	زیست ۳ دوازدهم
112244	1405-1406/712	فیزیک-۳-دوازدهم-تجربی-چاپ-1405-1406.pdf	143	1405	فیزیک ۳ دوازدهم
110214	1404-1405/40	پشتیبان-فیزیک-۱-دهم-تجربی-چاپ-1404-1405.pdf	0	1404	پشتیبان فیزیک ۱ دهم (اختیاری)
